spectrumname,QY_max,NPQ_L7,YieldT
1101_mean,,,
1102_mean,,,
1103_mean,0.777039363,3.038425894,223.95
1104_mean,,,
1105_mean,,,
1106_mean,,,
1107_mean,,,
1108_mean,0.820190084,2.907739408,214.3
1109_mean,,,
1110_mean,,,
1207_mean,0.821064139,3.44926551,257.17
1208_mean,0.816249533,3.216419967,183.29
1210_mean,0.807918942,3.032539512,187.23
1304_mean,0.791582654,3.639917709,98.47
1305_mean,0.682149067,2.934970162,87.61
1310_mean,0.779624992,3.530036006,110.35
1401_mean,,,
1402_mean,0.6640471,2.340966432,119.93
1403_mean,,,
1404_mean,,,
1405_mean,0.706961461,3.357831811,97.01
1406_mean,,,
1407_mean,,,
1408_mean,,,
1409_mean,0.71916198,3.279439066,114.86
1410_mean,,,
1501_mean,,,
1502_mean,0.74069945,2.665629685,122.36
1503_mean,,,
1504_mean,0.775435915,3.68207348,123.36
1505_mean,,,
1506_mean,,,
1507_mean,,,
1508_mean,0.823719403,3.276469792,99.2
1510_mean,,,
1601_mean,0.83174521,3.075994729,134.21
1602_mean,0.828152246,4.129128295,136.5
1603_mean,,,
1604_mean,,,
1605_mean,,,
1606_mean,0.810480116,4.021116403,147.71
1607_mean,,,
1608_mean,,,
1609_mean,,,
1610_mean,,,
1701_mean,0.817445402,3.327400094,237.77
1702_mean,,,
1703_mean,,,
1704_mean,0.839354105,3.141886471,250.86
1705_mean,,,
1706_mean,0.820831807,2.748029066,215.87
1707_mean,0.823900729,2.960084184,277.35
1708_mean,,,
1709_mean,,,
1710_mean,,,
1807_mean,0.812084041,3.259497309,167.65
1810_mean,0.834583764,2.343059502,307.25
